# Title
/RootView/UI-Foreground/Main/UICharacterList/container/commonBg/title|'Hồ sơ'|'<size=120%>Hồ sơ</size>'

# Repeat
# - Rebirth
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_1/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_2/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_3/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_4/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_5/container/btnSelect/status/reincarnationText|'Tái sinh'|'T.Sinh'
# - Bond
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_1/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_2/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_3/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_4/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'
/RootView/UI-Foreground/Main/UICharacterList/container/characterScrollView/characterList/character01_5/container/btnSelect/status/totalText|'T.Mật Lv.'|'T.<size=80%>Mật </size>Lv.'

/RootView/UI-Foreground/Main/UICharacterListProfile/container/viewType/styleList/Viewport/Content/template(Clone)/mask/status/cardLevelContainer/ability|'Nâng cấp'|'<space=10px>Nâng cấp'
/RootView/UI-Foreground/Main/UICharacterListProfile/container/viewType/styleList/Viewport/Content/template(Clone)/mask/status/characterLevelContainer/ability|'Nâng cấp'|'<space=10px>Nâng cấp'

/RootView/UI-Foreground/Main/UICharacterListProfile/container/viewType/styleList/Viewport/Content/template(Clone)/mask/status/cardLevelContainer/limit|'Đột phá'|'<space=-40px>Đột phá'
/RootView/UI-Foreground/Main/UICharacterListProfile/container/viewType/styleList/Viewport/Content/template(Clone)/mask/status/characterLevelContainer/limit|'Đột phá'|'<space=-40px>Đột phá'

/RootView/UI-Foreground/Main/UICharacterListProfile/container/commonBg/title|'Tiểu sử'|'<size=80%>Tiểu sử'

/RootView/UI-Foreground/Main/UIPartyDetailCharacterSecond/container/viewTypeRight/detailProfile/characterNameContainer/DotPink/characterName|'<style=RubyPrefixTag></style>\nMinase <space=-70.255px><voffset=1em><size=40%><cspace=0px></cspace></size></voffset><space=70.245px><style=RubySuffixTag></style>Sumomo<space=-80.77499px><voffset=1em><size=40%><cspace=0px></cspace></size></voffset><space=80.76499px><style=RubySuffixTag></style>'|'<style=RubyPrefixTag></style>\nMinase <space=-70.255px><voffset=1em><size=40%><cspace=0px></cspace></size></voffset><space=70.245px><style=RubySuffixTag></style>Ichigo<space=-80.77499px><voffset=1em><size=40%><cspace=0px></cspace></size></voffset><space=80.76499px><style=RubySuffixTag></style>'
