# Days of week (UIHud)
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/daylabel|'<size=82%>Ngày</size>'|'Ngày'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'

# Days of week (UIHud-timebox)
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'

# Days of week (UIHud-timebox-loading)
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'
