# HBRDialogueOverride
# Format: path|'text_đã_dịch'|'text_muốn_thay'
# Lưu ý: cột giữa là bản dịch XUnity đang hiển thị, không phải text gốc tiếng Nhật
#
# Ví dụ:
# /RootView/UI-Foreground/Main/UIEventLimitedExchangeShop/exchangeShop/commonBg/title|Trao đổi'|'Cửa hàng đổi thưởng'

/UILotteryTop4(Clone)/container/lotteryShopHeader/consumeContainer/isVisibleGem/free|'Miễn phí'|'<size=85%>Miễn phí</size>'
/UILotteryTop4(Clone)/container/lotteryShopHeader/consumeContainer/isVisibleGem/charge|'Có phí'|'<size=60%>Có phí</size>'
/RootView/UI-Foreground/Main/UIAdvChoice/container/balloonContainer/msgQuestion|'<style=RubyPrefixTag></style><br>Việc chuẩn bị đã hoàn tất rồi chứ?'|'<style=RubyPrefixTag></style><br>Sẵn sàng chưa?'

# Days of week (UIHud)
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/daylabel|'<size=82%>Ngày</size>'|'Ngày'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/HudMenu/UIHudEnvironment2/Mode/Main/dayFrame/day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'
# Days of week (UIHud-timebox)
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/Main/UIStoryDayTimeSelect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'
# Days of week (UIHud-timebox-loading)
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=60%>(Chủ Nhật)</size>'|'(CN)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Hai)</size>'|'(T2)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Ba)</size>'|'(T3)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Tư)</size>'|'(T4)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=68%>(Thứ Năm)</size>'|'(T5)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Sáu)</size>'|'(T6)'
/RootView/UI-Foreground/Loading/UIShowTimeboxEffect/timebox/dayFrame/Day/dayOfWeek|'<size=70%>(Thứ Bảy)</size>'|'(T7)'
